λ|is_conv|w|F1|F2|F3|F4|t|stat
[0.7, 0.1, 0.1, 0.1]|true|[2.049051450749606e-6, 1.7839099194419276e-6, 2.012682095409272e-6, 2.2457341013354093e-6, 1.7055174770654009e-6, 0.029814099153159086, 0.9701456015439405, 2.2354153957556024e-6, 1.8299550852839262e-6, 2.332378947603437e-6, 2.969136972941661e-6, 2.4550561105872486e-6, 1.5618895511300773e-6, 3.193288640569218e-6, 2.534880293189674e-6, 3.2947085797582832e-6, 1.4118989431221113e-6, 2.1908239861951977e-6, 1.5164619238203004e-6, 2.976513426573724e-6]|0.0033282853239992843|0.006757105567215457|-0.000487474974800497|0.00015308198789784324|3.371000051498413|LOCALLY_SOLVED
[0.6, 0.2, 0.1, 0.1]|true|[1.0572879974460615e-6, 9.151137135488583e-7, 1.044133606683116e-6, 1.2288991006779685e-6, 9.03550321518713e-7, 0.23935440885112833, 0.7606246417029573, 1.170426549062674e-6, 9.667322852275996e-7, 1.2232572324800175e-6, 1.5470447030562403e-6, 1.122227284910139e-6, 6.904168473567838e-7, 1.6686942881158227e-6, 1.1415334237496494e-6, 2.0858414211969163e-6, 7.130345710838863e-7, 1.1240707227035717e-6, 7.724232201933839e-7, 1.5747586254279599e-6]|0.0022798016338843323|0.002071631546106635|-1.8389328578051106e-5|4.677552770393008e-5|0.8880000114440918|LOCALLY_SOLVED
[0.5, 0.3, 0.1, 0.1]|true|[5.4266198625586226e-6, 4.6226705372296475e-6, 5.45313570814862e-6, 7.818673069643055e-6, 5.051341483202307e-6, 0.3214676916253367, 0.678368187078057, 6.332973484261985e-6, 5.374463591385786e-6, 6.6397709951551894e-6, 8.278343197160816e-6, 4.328271009384925e-6, 2.5216356965365175e-6, 9.052724715358763e-6, 4.278934640339909e-6, 6.708301956036278e-5, 3.4542826469730122e-6, 5.699121157311032e-6, 3.831035515143636e-6, 8.874279736012562e-6]|0.0018685755784240625|0.0011450871404711468|3.542754851428048e-5|3.018952776534221e-5|0.9720001220703125|LOCALLY_SOLVED
[0.4, 0.4, 0.1, 0.1]|true|[1.0331849129404953e-5, 8.512395474067654e-6, 1.0760954304691407e-5, 2.7098453493601318e-5, 1.1708216369750327e-5, 0.36065405656223665, 0.48731312059688225, 1.3096446880871701e-5, 1.1099175440927827e-5, 1.3337368714028315e-5, 1.691731855510138e-5, 5.823327686495602e-6, 3.2117316990437725e-6, 1.9484427971771308e-5, 5.732532380567603e-6, 0.15183260291807185, 5.92882330974212e-6, 1.053075609780231e-5, 6.6814917359174465e-6, 1.996465356542121e-5]|0.0014381141265218606|0.0005933212176318363|1.5659336923356582e-5|8.448703013713293e-6|0.9839999675750732|LOCALLY_SOLVED
[0.30000000000000004, 0.5, 0.1, 0.1]|true|[8.258195148971528e-6, 6.472457506547124e-6, 8.907215893532487e-6, 0.00010041882227866325, 1.1413160918058264e-5, 0.3839209062112018, 0.33568694933190696, 1.2551979877072503e-5, 8.465881064063356e-6, 1.0757313774824061e-5, 1.7580543121855654e-5, 2.9680239831685956e-6, 1.5180156826799324e-6, 2.3943623625532695e-5, 2.9625976533573006e-6, 0.28013369696066676, 4.058887901814512e-6, 8.466995031184072e-6, 4.532423660589556e-6, 2.517135910239186e-5]|0.0011237050578466027|0.00034093948697642117|5.371580948437439e-6|2.1384764371565265e-6|1.1150000095367432|LOCALLY_SOLVED
[0.20000000000000007, 0.6, 0.1, 0.1]|true|[2.033339961917853e-5, 1.5758556880415947e-5, 2.3672280799846604e-5, 0.06992224318552194, 6.126406817723719e-5, 0.3301889100676279, 0.19494958988790453, 0.00015204781262118366, 1.937520936163214e-5, 2.7923377003511265e-5, 0.004005990452158257, 4.445700761931234e-6, 2.212829271790541e-6, 0.10218142041977046, 4.560874934943984e-6, 0.21989833345393076, 8.198217473981831e-6, 2.6808993761730327e-5, 8.916502748652375e-6, 0.07847799470967018]|0.0007317970146815665|0.00016595746030951926|2.0507406578265532e-7|2.844636839284616e-7|1.1109998226165771|LOCALLY_SOLVED
[0.10000000000000009, 0.7, 0.1, 0.1]|true|[6.644725348016966e-5, 6.265676781028515e-5, 0.00012249440251554434, 0.0545802040592628, 0.0016671473228229085, 0.20757407971023253, 0.08329569354015884, 0.04452007879537609, 3.8307517289358224e-5, 5.98576121881974e-5, 0.11816819280430464, 8.090508389636914e-6, 3.911007759622153e-6, 0.22002431982385062, 8.496976842245854e-6, 0.10359947038743651, 1.946817918153358e-5, 0.000626706595346558, 1.827676173564277e-5, 0.16553609997401636]|0.00032796724711618507|7.027102277286598e-5|-5.403503182760031e-7|3.2444980637314826e-8|1.1610000133514404|LOCALLY_SOLVED
[0.0, 0.8, 0.1, 0.1]|true|[0.0006018896040370893, 0.04609130046121685, 0.01364392714047133, 0.0008717513925643942, 0.0007942594406591221, 0.1474816396520414, 0.0001038210080916062, 0.06961772964212717, 2.9949226387786373e-5, 6.064387325413523e-5, 0.15645792968155842, 4.822403980522936e-5, 1.811203444427513e-5, 0.23319083097005047, 0.0001139800137097839, 0.0012312477892878816, 0.00023167412537611869, 0.14302061551160516, 4.09007384488206e-5, 0.18634957365486288]|-2.5853884732723272e-5|4.544837113867519e-5|-2.8924873765300554e-7|1.5537667093619117e-8|1.187999963760376|LOCALLY_SOLVED
[0.6, 0.1, 0.2, 0.1]|false|[2.3765770461551377e-6, 2.0814667117774936e-6, 2.3408334288914533e-6, 2.608597105313347e-6, 1.9888011504776915e-6, 0.1079095348772748, 0.8920434499420614, 2.6165826627727563e-6, 2.1356914281697754e-6, 2.7103014897011645e-6, 3.467320303401172e-6, 2.8624898231319255e-6, 1.8236943908398478e-6, 3.7318851821329914e-6, 2.9762538510940556e-6, 3.860776512983925e-6, 1.6495010992430374e-6, 2.560088537638771e-6, 1.77112747021147e-6, 3.4531924700610705e-6]|0.002937474314501715|0.0046206674891235726|-0.00024008024446511435|9.829144959360272e-5|0.9029998779296875|LOCALLY_SOLVED
[0.5, 0.2, 0.2, 0.1]|true|[4.25372357646696e-6, 3.6844980265376265e-6, 4.2754628747084336e-6, 5.675585768908221e-6, 3.856595805020553e-6, 0.27456155025579726, 0.7253436688508507, 4.982309824243112e-6, 4.179627555924098e-6, 5.1769545362045195e-6, 6.550536570341459e-6, 3.971303751309634e-6, 2.384075546320142e-6, 7.182613140157841e-6, 4.009009761467427e-6, 1.735765908259131e-5, 2.7976170319733202e-6, 4.56822994709808e-6, 3.0875045888195863e-6, 6.787585963898457e-6]|0.002103425440799659|0.001611501339147367|1.054650852778678e-5|3.862731612516818e-5|0.8910000324249268|LOCALLY_SOLVED
[0.4, 0.3, 0.2, 0.1]|true|[8.088343064623362e-6, 6.88422115987865e-6, 8.235544007953456e-6, 1.3131464971633834e-5, 7.909806133248027e-6, 0.34350748920277924, 0.6310291905892521, 9.89522655295531e-6, 8.322790709412462e-6, 1.0179230617728892e-5, 1.2907727819107354e-5, 5.69622439837555e-6, 3.2392710756987224e-6, 1.4317698598141824e-5, 5.615160014735677e-6, 0.02531560339713914, 5.027466392283969e-6, 8.566951794303642e-6, 5.625524660130717e-6, 1.4074158859488675e-5]|0.001719198541891507|0.0009272996892357815|3.641361213270522e-5|2.3062356438479935e-5|0.9659998416900635|LOCALLY_SOLVED
[0.29999999999999993, 0.4, 0.2, 0.1]|true|[1.7571620137008393e-5, 1.4212056632134792e-5, 1.887601550013503e-5, 7.69053008720206e-5, 2.3256715650364797e-5, 0.3757805542517673, 0.3980921706476009, 2.45248237058352e-5, 1.9036551899514315e-5, 2.2939296148652888e-5, 3.2114734969686915e-5, 7.960786974586819e-6, 4.242548236191957e-6, 3.984030094820014e-5, 7.918436547287903e-6, 0.22573929746758972, 9.376859833249712e-6, 1.789683642796112e-5, 1.053362816438985e-5, 4.077112039485272e-5]|0.0012479301982659756|0.0004257812484508978|8.9538912169562e-6|3.9511659519486305e-6|0.9620001316070557|LOCALLY_SOLVED
[0.20000000000000007, 0.5, 0.2, 0.1]|true|[5.3018063574434237e-5, 4.04553120504367e-5, 6.131765701995854e-5, 0.06645213581779873, 0.00015579050670970658, 0.3727810799924081, 0.2352766988149352, 0.0002233009616416789, 5.463775238074626e-5, 7.520429692989749e-5, 0.0008583676266190597, 1.2459523075082452e-5, 6.1899909570359575e-6, 0.03664328607811462, 1.2817622698149498e-5, 0.2565656327413015, 2.1791715909665888e-5, 6.40241042752173e-5, 2.409291905212149e-5, 0.0306176985025485]|0.0008669888078491457|0.00021579896755558067|1.2250399767539147e-6|5.794778859323271e-7|1.1059999465942383|LOCALLY_SOLVED
[0.09999999999999998, 0.6, 0.2, 0.1]|true|[0.00014214474096130666, 0.00012588575986937739, 0.00020562123052564395, 0.05718741611504417, 0.001360618310117682, 0.22200472318135564, 0.09739017965185802, 0.03266876060914396, 9.645658051729187e-5, 0.00014876456400972175, 0.10500633857908556, 2.286534988292216e-5, 1.1184592059214987e-5, 0.20734028981849442, 2.3806378900801863e-5, 0.118847054372252, 5.001124862454202e-5, 0.00044258499135653223, 4.866786078709367e-5, 0.15687662606515423]|0.00037944549548121623|7.825640896467284e-5|-5.420470721326891e-7|4.1064758017783615e-8|1.1050000190734863|LOCALLY_SOLVED
[1.1102230246251565e-16, 0.7, 0.2, 0.1]|true|[0.0006475389461447901, 0.04601578866484134, 0.013384978994619061, 0.00088218388084816, 0.0008277766809151655, 0.14746889834143617, 0.00010837813683651538, 0.0695036881149936, 3.4124825315680435e-5, 6.902528233545724e-5, 0.15650127840145955, 5.523375293952052e-5, 2.06820315218334e-5, 0.23308265399181904, 0.00012980881282094537, 0.0012426847326169237, 0.00025684157332998934, 0.14308111528035658, 4.6594402043322016e-5, 0.18664072515280639]|-2.601136063717544e-5|4.545008782253431e-5|-2.8762926529007387e-7|1.5522448350410958e-8|1.1770000457763672|LOCALLY_SOLVED
