time,open,high,low,close,volume
2021-08-04 17:30:00,68.79,68.79,68.79,68.79,33298
2021-08-04 16:00:00,68.98,69.01,68.61,68.79,15572
2021-08-04 15:45:00,68.6,68.9,68.34,68.9,5885
2021-08-04 15:30:00,68.64,68.69,68.53,68.59,2710
2021-08-04 15:15:00,68.83,69.09,68.6,68.6,8194
2021-08-04 15:00:00,68.71,68.9,68.3301,68.9,11099
2021-08-04 14:45:00,68.28,68.8,68.08,68.73,4393
2021-08-04 14:30:00,68.405,68.45,68.21,68.36,6988
2021-08-04 14:15:00,68.67,68.81,68.48,68.48,4018
2021-08-04 14:00:00,68.14,68.84,68.14,68.59,1849
2021-08-04 13:45:00,68.6174,68.63,67.985,68.11,13908
2021-08-04 13:30:00,68.195,68.69,68.15,68.69,10388
2021-08-04 13:15:00,68.0,68.285,68.0,68.2,8905
2021-08-04 13:00:00,69.0,69.0,68.12,68.256,10381
2021-08-04 12:45:00,69.8,69.8,69.0,69.0,7639
2021-08-04 12:30:00,69.32,69.805,69.32,69.805,2046
2021-08-04 12:15:00,69.57,69.59,69.2,69.59,6698
2021-08-04 12:00:00,70.56,70.58,69.57,69.57,19030
2021-08-04 11:45:00,71.04,71.04,70.45,70.55,4949
2021-08-04 11:30:00,70.65,71.13,70.29,71.13,28895
2021-08-04 11:15:00,70.545,70.82,70.42,70.61,13933
2021-08-04 11:00:00,70.61,70.798,69.755,70.62,30217
2021-08-04 10:45:00,70.05,70.65,68.7448,70.65,16139
2021-08-04 10:30:00,70.66,70.8,69.97,70.045,8962
2021-08-04 10:15:00,68.4,70.7669,68.37,70.7669,28892
2021-08-04 10:00:00,67.2545,68.88,67.0,68.42,15520
2021-08-04 09:45:00,68.99,68.99,67.495,67.775,23966
2021-08-03 16:00:00,68.68,69.22,68.63,69.08,40689
2021-08-03 15:45:00,69.5,69.8,68.89,68.92,11463
2021-08-03 15:30:00,69.2,69.615,69.09,69.5,14185
2021-08-03 15:15:00,68.99,69.39,68.99,69.35,4633
2021-08-03 15:00:00,68.85,69.04,68.72,68.84,4467
2021-08-03 14:45:00,68.7519,69.08,68.7519,68.96,2809
2021-08-03 14:30:00,68.2036,69.0,67.8901,68.88,7575
2021-08-03 14:15:00,68.025,68.38,67.6,68.38,3399
2021-08-03 14:00:00,67.62,68.26,67.53,68.19,6606
2021-08-03 13:45:00,67.5561,67.71,67.1,67.71,8967
2021-08-03 13:30:00,67.43,67.54,67.1,67.33,3655
2021-08-03 13:15:00,68.0,68.02,67.2051,67.8278,12773
2021-08-03 13:00:00,67.54,68.4,67.54,68.4,1757
2021-08-03 12:45:00,67.755,68.14,67.501,67.54,9768
2021-08-03 12:30:00,68.065,68.26,67.87,67.95,1560
2021-08-03 12:15:00,67.56,68.02,67.2,67.98,17732
2021-08-03 12:00:00,68.862,68.862,67.59,67.75,10591
2021-08-03 11:45:00,68.6985,68.87,68.3128,68.79,13194
2021-08-03 11:30:00,68.48,68.65,68.1301,68.58,9531
2021-08-03 11:15:00,66.88,68.35,66.88,68.305,14145
2021-08-03 11:00:00,66.6951,67.42,66.67,67.0163,13391
2021-08-03 10:45:00,66.78,67.41,66.25,66.675,13934
2021-08-03 10:30:00,65.85,67.22,65.85,66.995,13187
2021-08-03 10:15:00,66.69,67.5556,65.78,66.51,21777
2021-08-03 10:00:00,64.75,66.71,64.75,66.69,27090
2021-08-03 09:45:00,68.34,70.39,64.2,65.0235,65969
2021-08-03 09:30:00,69.49,69.68,68.03,68.03,1703
2021-08-03 08:15:00,69.41,69.41,68.02,68.02,1461
2021-08-03 07:15:00,69.5,69.5,69.5,69.5,569
2021-08-02 20:00:00,68.25,68.93,68.25,68.93,408
2021-08-02 18:00:00,69.9,69.95,69.9,69.95,1006
2021-08-02 17:15:00,70.75,70.75,70.4,70.4,500
2021-08-02 17:00:00,71.0,71.0,71.0,71.0,300
2021-08-02 16:15:00,69.49,69.49,69.49,69.49,3792
2021-08-02 16:00:00,68.91,69.49,68.6801,69.48,40338
2021-08-02 15:45:00,69.08,69.305,68.94,68.94,28080
2021-08-02 15:30:00,69.36,69.39,69.105,69.105,3670
2021-08-02 15:15:00,69.06,69.585,68.97,69.38,28419
2021-08-02 15:00:00,69.39,69.39,68.96,69.06,2725
2021-08-02 14:45:00,69.0,69.44,68.93,69.02,16462
2021-08-02 14:30:00,69.15,69.29,68.87,68.99,3923
2021-08-02 14:15:00,68.8,69.3039,68.77,69.1067,21037
2021-08-02 14:00:00,69.26,69.26,68.48,68.7,23896
2021-08-02 13:45:00,69.26,69.3218,69.1,69.16,7001
2021-08-02 13:30:00,69.4,69.4139,69.11,69.24,4456
2021-08-02 13:15:00,69.42,69.435,69.26,69.35,2121
2021-08-02 13:00:00,69.47,69.56,69.17,69.33,3608
2021-08-02 12:45:00,69.21,69.6036,69.21,69.46,2686
2021-08-02 12:30:00,68.95,69.17,68.7,69.17,6809
2021-08-02 12:15:00,69.0886,69.25,68.71,68.78,6087
2021-08-02 12:00:00,69.0,69.24,68.91,69.12,4851
2021-08-02 11:45:00,69.15,69.15,68.7,69.0,9979
2021-08-02 11:30:00,69.42,69.47,69.01,69.145,12030
2021-08-02 11:15:00,69.69,69.88,69.23,69.4,26990
2021-08-02 11:00:00,69.56,70.17,69.56,69.74,12087
2021-08-02 10:45:00,70.5,70.84,69.99,70.14,15451
2021-08-02 10:30:00,70.175,70.58,69.03,70.145,25633
2021-08-02 10:15:00,71.358,71.8,70.0,70.07,15426
2021-08-02 10:00:00,70.57,71.65,70.57,71.31,44839
2021-08-02 09:45:00,67.92,71.01,67.92,70.705,43877
2021-08-02 09:00:00,68.49,68.49,68.49,68.49,122
