time,open,high,low,close,volume
2021-08-04 19:15:00,142.99,142.99,142.99,142.99,271
2021-08-04 19:00:00,142.99,142.99,142.99,142.99,106
2021-08-04 18:45:00,142.99,142.99,142.99,142.99,579
2021-08-04 18:15:00,142.99,142.99,142.99,142.99,100
2021-08-04 18:00:00,142.97,142.97,142.97,142.97,180
2021-08-04 17:00:00,142.97,142.97,142.96,142.97,602
2021-08-04 16:45:00,142.99,142.99,142.65,142.65,973
2021-08-04 16:30:00,142.99,143.0,142.99,143.0,1120
2021-08-04 16:15:00,142.76,142.98,142.76,142.98,65303
2021-08-04 16:00:00,142.885,143.03,142.73,142.78,255260
2021-08-04 15:45:00,143.025,143.03,142.84,142.885,107992
2021-08-04 15:30:00,142.76,143.0445,142.7,143.04,94076
2021-08-04 15:15:00,142.79,142.9,142.73,142.765,52023
2021-08-04 15:00:00,142.97,142.97,142.7,142.78,69647
2021-08-04 14:45:00,142.89,143.01,142.85,142.975,48343
2021-08-04 14:30:00,142.9,142.96,142.8335,142.89,45039
2021-08-04 14:15:00,142.87,143.03,142.87,142.9,44703
2021-08-04 14:00:00,142.805,142.895,142.76,142.8682,44880
2021-08-04 13:45:00,142.55,142.8431,142.55,142.81,78797
2021-08-04 13:30:00,142.6999,142.6999,142.52,142.55,59149
2021-08-04 13:15:00,142.51,142.78,142.47,142.73,91875
2021-08-04 13:00:00,142.575,142.65,142.51,142.51,82607
2021-08-04 12:45:00,142.6,142.66,142.51,142.59,50521
2021-08-04 12:30:00,142.79,142.81,142.54,142.6047,105538
2021-08-04 12:15:00,142.98,142.99,142.74,142.795,59141
2021-08-04 12:00:00,142.98,143.06,142.79,142.99,90527
2021-08-04 11:45:00,142.975,143.03,142.84,142.98,100207
2021-08-04 11:30:00,142.91,143.21,142.9,142.96,76670
2021-08-04 11:15:00,142.9499,143.15,142.76,142.925,84827
2021-08-04 11:00:00,143.37,143.4357,142.95,142.95,76828
2021-08-04 10:45:00,143.17,143.57,143.09,143.39,81057
2021-08-04 10:30:00,143.4,143.41,142.95,143.13,213236
2021-08-04 10:15:00,143.55,143.79,143.222,143.38,85608
2021-08-04 10:00:00,143.59,144.18,143.3801,143.57,137370
2021-08-04 09:45:00,143.8,143.8,142.94,143.57,229360
2021-08-04 09:15:00,143.527,144.06,143.527,144.06,1360
2021-08-04 08:30:00,143.71,143.71,143.52,143.52,623
2021-08-04 08:15:00,143.5149,143.5149,143.51,143.51,2022
2021-08-04 07:45:00,143.71,143.71,143.71,143.71,300
2021-08-03 20:00:00,143.85,143.85,143.85,143.85,128
2021-08-03 19:30:00,143.85,143.85,143.85,143.85,208
2021-08-03 19:00:00,143.85,143.85,143.85,143.85,100
2021-08-03 17:15:00,143.5401,143.5401,143.5401,143.5401,135
2021-08-03 17:00:00,144.09,144.09,144.09,144.09,182
2021-08-03 16:45:00,144.11,144.11,144.11,144.11,120
2021-08-03 16:30:00,144.45,144.45,144.33,144.33,441
