λ|is_conv|w|F1|F2|F3|F4|t|stat
[1.0, 0.0, 0.0, 0.0]|true|[1.959923750891566e-6, 2.840902419718765e-6, 2.4761718122595943e-6, 1.4801923040987661e-5, 1.425638410319083e-5, 7.139262665697964e-7, 0.0, 1.9021906832778882e-6, 1.0808466241710572e-5, 2.147951169071625e-6, 1.341923558218675e-6, 7.319718270795261e-7, 6.03442492045701e-7, 1.2896874804461467e-6, 7.354358430748255e-7, 0.9999326586950062, 3.6249948513798325e-6, 1.6139008091022832e-6, 4.140173171776839e-6, 1.3519354730389635e-6]|0.0019350700340704243|0.0071762660038067645|-0.000640468544112266|6.361026338071343e-5|13.006998777389526|LOCALLY_SOLVED
[1.0, 0.0, 0.0, 0.0]|true|[0.0, 0.0, 0.0, 0.0, 0.0, 3.110383247670323e-6, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3819503779816077e-6, 1.9053969965394458e-6, 0.9999881649940491, 3.4372753286951874e-6, 0.0, 0.0, 0.0, 0.0, 0.0]|7.027986729426255e-6|9.309368564111745e-5|-7.198655512182052e-7|6.755854696986038e-8|692.4469964504242|LOCALLY_SOLVED
[0.9743589743589743, 0.02564102564102564, 0.0, 0.0]|true|[0.0, 0.0, 0.0, 0.0, 0.0, 1.6770292129581678e-6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7692716050486269e-6, 1.1845385496528649e-6, 0.9999935824661983, 1.7866944341939774e-6, 0.0, 0.0, 0.0, 0.0, 0.0]|7.036443022968633e-6|9.309451273159389e-5|-7.199691542303113e-7|6.75601133217814e-8|890.9980087280273|LOCALLY_SOLVED
[0.9487179487179487, 0.05128205128205128, 0.0, 0.0]|true|[0.0, 0.0, 0.0, 0.0, 0.0, 1.9196383081832393e-6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8415468924998379e-6, 1.2233955732764308e-6, 0.9999931556828572, 1.8597363689435608e-6, 0.0, 0.0, 0.0, 0.0, 0.0]|7.035777720107942e-6|9.309442688076992e-5|-7.199586543446874e-7|6.755995915678068e-8|994.3949933052063|LOCALLY_SOLVED
[0.9230769230769231, 0.07692307692307693, 0.0, 0.0]|true|[0.0, 0.0, 0.0, 0.0, 0.0, 1.7872497675795402e-6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.878115238068034e-6, 1.2556815984114014e-6, 0.9999931871905214, 1.8917628745513846e-6, 0.0, 0.0, 0.0, 0.0, 0.0]|7.035812185197386e-6|9.309445050490445e-5|-7.199615521351072e-7|6.755999841394362e-8|929.595992565155|LOCALLY_SOLVED
[0.8974358974358975, 0.10256410256410256, 0.0, 0.0]|true|[0.0, 0.0, 0.0, 0.0, 0.0, 1.8531908127465685e-6, 0.0, 0.0, 0.0, 0.0, 0.0, 1.938389809811082e-6, 1.2946957253464375e-6, 0.9999929639067847, 1.9498168673311194e-6, 0.0, 0.0, 0.0, 0.0, 0.0]|7.035456336978768e-6|9.309441479348224e-5|-7.199571896250034e-7|6.755993260360849e-8|937.2079975605011|LOCALLY_SOLVED
[0.8717948717948718, 0.1282051282051282, 0.0, 0.0]|true|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009169536359268241, 1.283708860154694e-6, 0.0, 0.307602598537455, 0.0, 8.102642272290666e-6, 0.0, 0.6914710614754858, 0.0]|0.0004804533772609021|0.0037528070137536227|-0.0002461161001620127|1.6828631262751865e-5|938.7899973392487|LOCALLY_SOLVED
[0.8461538461538461, 0.15384615384615385, 0.0, 0.0]|true|[0.0, 0.0, 0.0, 0.0, 0.00010795757198736947, 0.0, 0.0, 0.0, 0.7734937595118823, 0.0, 0.0, 0.0, 0.226384982947623, 0.0, 0.0, 0.0, 5.691301000841734e-6, 0.0, 7.608667506400237e-6, 0.0]|0.0008311625524092928|0.005674969880580367|-0.00046139984260225943|3.919682900230169e-5|1229.239994764328|LOCALLY_SOLVED
[0.8205128205128205, 0.1794871794871795, 0.0, 0.0]|true|[0.0, 0.9999677924188719, 0.0, 0.0, 6.531837400304585e-6, 0.0, 0.0, 0.0, 1.739889006174356e-5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.5060440929950903e-6, 0.0, 4.770809573135177e-6, 0.0]|0.0010561650715793392|0.0068752985908995725|-0.0005892361782111839|5.15791681090252e-5|1291.325999736786|LOCALLY_SOLVED
[0.7948717948717949, 0.20512820512820512, 0.0, 0.0]|true|[0.0, 0.9999928054334248, 0.0, 0.0, 1.6292004965750182e-6, 0.0, 0.0, 0.0, 3.0998711908701142e-6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0653658838744658e-6, 0.0, 1.400129003867276e-6, 0.0]|0.0010561509764405637|0.006875189593316698|-0.0005892230134210244|5.1577729448796225e-5|1234.369000673294|LOCALLY_SOLVED
[0.7692307692307692, 0.23076923076923078, 0.0, 0.0]|true|[0.0, 0.9999575909696105, 0.0, 0.0, 8.697547445418643e-6, 0.0, 0.0, 0.0, 2.3716537839993043e-5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.9817968380355655e-6, 0.0, 6.013148266166405e-6, 0.0]|0.0010561711166726798|0.006875342780411709|-0.0005892415143057344|5.1579751084147834e-5|1006.7479794025421|LOCALLY_SOLVED
