λ|is_conv|w|F1|F2|F3|F4|t|stat
[1.0, 0.0, 0.0, 0.0]|true|[8.803385676331082e-7, 1.0248756122471769e-6, 9.725511845815146e-7, 1.4540325993838975e-6, 1.4485199108719908e-6, 4.907780494023234e-7, 0.9999822477348064, 8.683526851849134e-7, 1.4024965514143073e-6, 9.168384409337788e-7, 7.278864831431339e-7, 4.993474136108646e-7, 4.3529913459613334e-7, 7.120471867734836e-7, 5.009774550468113e-7, 1.6145859774404097e-6, 1.1127923257925846e-6, 8.021260382726846e-7, 1.1575605046530457e-6, 7.308590725968498e-7]|0.0034775492500186875|0.007695212350942315|-0.0006106083072890105|0.0001807304295087748|0.7309999465942383|LOCALLY_SOLVED
[0.8888888888888888, 0.1111111111111111, 0.0, 0.0]|true|[5.147806500647303e-7, 4.795477349176352e-7, 5.206440889734335e-7, 6.207007456264144e-7, 4.938328585347633e-7, 1.093573597653202e-6, 0.9999892535088156, 5.435877900905791e-7, 5.206021915503646e-7, 5.713368504495629e-7, 6.1857862286716e-7, 4.7560784643879846e-7, 3.413054398215659e-7, 6.398750039800845e-7, 4.845026818105634e-7, 8.49716325144224e-7, 4.025903736431014e-7, 5.241208971651872e-7, 4.3039433817483707e-7, 6.21193147264444e-7]|0.0034775631299087902|0.007695210772827816|-0.0006106042911629885|0.0001807337046202519|0.8950002193450928|LOCALLY_SOLVED
[0.7777777777777778, 0.2222222222222222, 0.0, 0.0]|true|[2.4661681207177594e-6, 2.074606087113773e-6, 2.429159003099234e-6, 3.0161180371569797e-6, 2.082492382856572e-6, 0.198361299212211, 0.8015875327807144, 2.772427824104871e-6, 2.2524909195375295e-6, 2.9557886531025553e-6, 3.7554576126586027e-6, 2.4476588178726103e-6, 1.483277344400771e-6, 4.098996285878382e-6, 2.4524553147064527e-6, 7.023451012874336e-6, 1.5762633287746722e-6, 2.607504346959104e-6, 1.7277128082771986e-6, 3.945979174839264e-6]|0.002484847377068409|0.002725590222934951|-6.612099539537355e-5|5.87438142079383e-5|0.8299999237060547|LOCALLY_SOLVED
[0.6666666666666667, 0.3333333333333333, 0.0, 0.0]|true|[3.4161404744544085e-6, 2.92197947704692e-6, 3.3965686327883204e-6, 4.366013446842606e-6, 3.0329689234653227e-6, 0.29712056702072365, 0.702808555506561, 3.856904462936177e-6, 3.232051037268769e-6, 4.058068843132141e-6, 5.077581706756763e-6, 3.0720729439362937e-6, 1.8279176459696016e-6, 5.506507654433032e-6, 3.0607567320244997e-6, 1.0471612157933978e-5, 2.228482195421884e-6, 3.5921699079825835e-6, 2.444029507539671e-6, 5.315646965446244e-6]|0.0019906020495366146|0.0013664823972888139|2.4227901306410183e-5|3.4277270872384836e-5|1.1590001583099365|LOCALLY_SOLVED
[0.5555555555555556, 0.4444444444444444, 0.0, 0.0]|true|[6.2608918930969385e-6, 5.230159699155534e-6, 6.356504005873838e-6, 1.0820360027719424e-5, 6.1869104417190565e-6, 0.3449015161688387, 0.5771088082263576, 7.531547477786013e-6, 6.393037420192722e-6, 7.880227429079474e-6, 9.85922729593178e-6, 4.127912077867728e-6, 2.3229798212582667e-6, 1.0950513383573034e-5, 4.037482891400232e-6, 0.07787618419032878, 3.7808421176387828e-6, 6.479664044868528e-6, 4.2388852240539195e-6, 1.1034269223584103e-5]|0.001631251456874103|0.0008107931747079419|2.5023526385683435e-5|1.6180019023486495e-5|0.9419999122619629|LOCALLY_SOLVED
[0.4444444444444444, 0.5555555555555556, 0.0, 0.0]|true|[1.0739322481314201e-5, 8.703042214703983e-6, 1.1164337256655562e-5, 2.9916264282301287e-5, 1.2004453907537698e-5, 0.3716212511913373, 0.40873130418869386, 1.4027088552545159e-5, 1.101491118127167e-5, 1.3777687330834365e-5, 1.8779432171904265e-5, 5.348882179778733e-6, 2.8683914685467914e-6, 2.227639455933177e-5, 5.279579272309697e-6, 0.2194351065912763, 5.918527535034065e-6, 1.100090233634888e-5, 6.634146675387904e-6, 2.2884665286839e-5]|0.0012789261007144265|0.0004497181919829135|9.013233050304994e-6|4.342765936353445e-6|1.0420000553131104|LOCALLY_SOLVED
[0.33333333333333337, 0.6666666666666666, 0.0, 0.0]|true|[2.76123229888876e-5, 2.0710330591679815e-5, 3.0911136816515314e-5, 0.03516689251398526, 5.881819881902177e-5, 0.39122286995112315, 0.28670688372375314, 6.294785055766688e-5, 2.932759695592966e-5, 3.87785888438087e-5, 0.0001136399669058307, 7.481748555201188e-6, 3.7558183620196685e-6, 0.0003152804013510054, 7.557722552791255e-6, 0.2857200355491037, 1.1878241231561276e-5, 2.937112717772335e-5, 1.3308146230995224e-5, 0.00041193906409419593]|0.001015241222960895|0.0002818526638573068|3.0065795633404922e-6|1.2123367106462588e-6|1.184000015258789|LOCALLY_SOLVED
[0.2222222222222222, 0.7777777777777778, 0.0, 0.0]|true|[1.8891042194642277e-5, 1.4889461112731856e-5, 2.2217820154879694e-5, 0.06943078428943587, 5.2791899767310575e-5, 0.29776571919376044, 0.16664008865874153, 0.00022867166422457417, 1.6966187398837198e-5, 2.479915162197144e-5, 0.03051379064391313, 3.951771695701813e-6, 1.966122197680968e-6, 0.13766427053584918, 4.0519901207432164e-6, 0.19200733547163557, 7.526177315566591e-6, 2.6812601545228153e-5, 8.042270303829463e-6, 0.1055464330470106]|0.0006330101610610393|0.0001353764717826438|-2.1493640513984368e-7|1.6490210093037328e-7|1.2100000381469727|LOCALLY_SOLVED
[0.11111111111111116, 0.8888888888888888, 0.0, 0.0]|true|[6.245423150524248e-5, 6.432429187831697e-5, 0.00012495880258779244, 0.05211122222049402, 0.0022094282356139696, 0.19713207514347844, 0.07279137763125632, 0.05306362600554441, 3.115913315416172e-5, 4.9236703171027455e-5, 0.1275916451364451, 7.115459263518448e-6, 3.4144428641236002e-6, 0.2288575733460369, 7.520571425421628e-6, 0.09207992963327179, 1.7887381178038427e-5, 0.0022577833662457032, 1.6153668461614823e-5, 0.17152111459612399]|0.0002890351342588072|6.506575533683483e-5|-5.268279257951501e-7|2.7886411455832085e-8|1.128000020980835|LOCALLY_SOLVED
[0.0, 1.0, 0.0, 0.0]|true|[0.0005122855305145277, 0.0463395316703137, 0.014018224235458525, 0.000720915852469416, 0.0006439626651080135, 0.14738159918379015, 7.295166840084964e-5, 0.06975706386361415, 2.4004013642281897e-5, 4.863181349821446e-5, 0.15645038598400643, 3.847195464028993e-5, 1.4500603851631687e-5, 0.23332385176044862, 9.14459761438754e-5, 0.0010979363233340489, 0.00018167430078434637, 0.14306974294933486, 3.278825215294532e-5, 0.18618003139849287]|-2.5995574688631553e-5|4.5445100820039006e-5|-2.903698529042216e-7|1.55460285721782e-8|1.249000072479248|LOCALLY_SOLVED
