λ|is_conv|w|F1|F2|F3|F4|t|stat
[1.0, 0.0, 0.0, 0.0]|true|[8.803385676331082e-7, 1.0248756122471769e-6, 9.725511845815146e-7, 1.4540325993838975e-6, 1.4485199108719908e-6, 4.907780494023234e-7, 0.9999822477348064, 8.683526851849134e-7, 1.4024965514143073e-6, 9.168384409337788e-7, 7.278864831431339e-7, 4.993474136108646e-7, 4.3529913459613334e-7, 7.120471867734836e-7, 5.009774550468113e-7, 1.6145859774404097e-6, 1.1127923257925846e-6, 8.021260382726846e-7, 1.1575605046530457e-6, 7.308590725968498e-7]|0.0034775492500186875|0.007695212350942315|-0.0006106083072890105|0.0001807304295087748|0.7309999465942383|LOCALLY_SOLVED
[0.9743589743589743, 0.02564102564102564, 0.0, 0.0]|true|[9.676693162502094e-7, 1.0840086364755435e-6, 1.0536241689604252e-6, 1.5098166496844628e-6, 1.4318430938871907e-6, 6.126611466289147e-7, 0.999980831764713, 9.645006918983876e-7, 1.4138649817658949e-6, 1.0176018209126836e-6, 8.418515116783551e-7, 5.852163079079099e-7, 4.992023654047329e-7, 8.287750282319245e-7, 5.880322835795514e-7, 1.7434800089541341e-6, 1.116133530034753e-6, 8.966302437954433e-7, 1.1680005901445812e-6, 8.453229109815279e-7]|0.0034775445020311328|0.007695194089714477|-0.0006106062846378858|0.00018072946848933033|0.7089998722076416|LOCALLY_SOLVED
[0.9487179487179487, 0.05128205128205128, 0.0, 0.0]|true|[1.1088757754410623e-6, 1.1596545558969855e-6, 1.173638734801179e-6, 1.5781278039746896e-6, 1.4147478760852503e-6, 1.1952740612870155e-6, 0.9999776913096817, 1.1321046263630089e-6, 1.4255587665048038e-6, 1.194477110751483e-6, 1.1112083298081674e-6, 8.069732805377801e-7, 6.339866771202279e-7, 1.120040724977118e-6, 8.140263682635798e-7, 1.9573527699871807e-6, 1.119198686236057e-6, 1.0671939657301303e-6, 1.1785625502943583e-6, 1.1176876543532015e-6]|0.0034775329448965032|0.00769514326738605|-0.0006106002223753142|0.00018072717299525033|0.7560000419616699|LOCALLY_SOLVED
[0.9230769230769231, 0.07692307692307693, 0.0, 0.0]|true|[1.2037933671123432e-6, 1.2241614977624106e-6, 1.2618528875893973e-6, 1.633835752155716e-6, 1.3995474080064535e-6, 1.186514088211205e-6, 0.9999764332529743, 1.23443580101066e-6, 1.4368334959346418e-6, 1.2995734434864135e-6, 1.2163543623907593e-6, 8.833823696009798e-7, 7.019719635762376e-7, 1.2225889337604843e-6, 8.92449942748641e-7, 2.06752891545006e-6, 1.1228052504742485e-6, 1.168418478054864e-6, 1.1892970678191163e-6, 1.2214020004613063e-6]|0.0034775289548043507|0.007695129884928945|-0.0006105988588959542|0.00018072636453295856|0.8149998188018799|LOCALLY_SOLVED
[0.8974358974358975, 0.10256410256410256, 0.0, 0.0]|true|[1.380670255975911e-6, 1.3097970070411959e-6, 1.4052290724445992e-6, 1.7038319612908354e-6, 1.3844593795494273e-6, 4.149277601109042e-6, 0.9999697300213516, 1.4508160973938373e-6, 1.4485159648057942e-6, 1.5248519365963058e-6, 1.642921189187975e-6, 1.2829898310893182e-6, 9.132486148132926e-7, 1.7051976947252869e-6, 1.3082744527979193e-6, 2.2869486336974044e-6, 1.1262632661110438e-6, 1.3962745730116912e-6, 1.2002026323936194e-6, 1.6502084845741475e-6]|0.003477500876383707|0.00769498249543533|-0.0006105800041330611|0.000180720835828376|0.8229999542236328|LOCALLY_SOLVED
[0.8717948717948718, 0.1282051282051282, 0.0, 0.0]|true|[5.706866112428411e-7, 5.035721812931813e-7, 5.638449407474015e-7, 6.39394895054616e-7, 4.90076158192611e-7, 5.851882418350272e-6, 0.9999831296892859, 6.145647329877276e-7, 5.234496941729121e-7, 6.449185908461995e-7, 7.835464527954062e-7, 6.384189921964648e-7, 4.1902938468700683e-7, 8.322146781670137e-7, 6.557305015419176e-7, 9.150283442147e-7, 4.033641734832326e-7, 6.006417835945511e-7, 4.330551077232765e-7, 7.868910728545983e-7]|0.0034775343508830947|0.00769503616628417|-0.0006105810074806334|0.0001807279998704711|1.0069999694824219|LOCALLY_SOLVED
[0.8461538461538461, 0.15384615384615385, 0.0, 0.0]|true|[1.738463792048814e-6, 1.5083470256495187e-6, 1.7061330112098415e-6, 1.9168593505523404e-6, 1.450337224178545e-6, 0.06668272490041763, 0.9332832266012301, 1.8875678313780827e-6, 1.5534705531669797e-6, 1.979618212282716e-6, 2.5030261578359134e-6, 2.04519456658894e-6, 1.2952682450423627e-6, 2.687604057676393e-6, 2.1012794868197746e-6, 2.833038737414899e-6, 1.1923000702726134e-6, 1.8480359605440585e-6, 1.281918847379623e-6, 2.5200352224747608e-6]|0.003143813154379348|0.0056908137692411485|-0.000357923653476741|0.0001243341243442071|0.9170000553131104|LOCALLY_SOLVED
[0.8205128205128205, 0.1794871794871795, 0.0, 0.0]|true|[1.9050058764855465e-6, 1.6451921310607275e-6, 1.8715980985671492e-6, 2.1412943644781243e-6, 1.5951594388255463e-6, 0.12781921737228957, 0.8721432343549524, 2.0814375717865397e-6, 1.7107078527714493e-6, 2.1882661240819456e-6, 2.7668242629599903e-6, 2.161675448573004e-6, 1.3553716602948199e-6, 2.9787234758168503e-6, 2.20921076085943e-6, 3.4243292075365295e-6, 1.2915975676897192e-6, 2.022673598918975e-6, 1.3933747929939408e-6, 2.8058305242532362e-6]|0.002837875647762628|0.00415023543675747|-0.0001924801666704|8.771881894125554e-5|0.8279998302459717|LOCALLY_SOLVED
[0.7948717948717949, 0.20512820512820512, 0.0, 0.0]|true|[2.1529950959989984e-6, 1.8365341749879824e-6, 2.1153983129044177e-6, 2.491174269246332e-6, 1.799464426550705e-6, 0.17367190988101744, 0.8262848843002847, 2.3818302375550455e-6, 1.936723170459879e-6, 2.517070678705147e-6, 3.2057015621286974e-6, 2.314204778353229e-6, 1.4267759152910935e-6, 3.474535069649342e-6, 2.3433616856346904e-6, 4.661345161787486e-6, 1.4213184086228616e-6, 2.285439470599732e-6, 1.5425339378006704e-6, 3.2994123414143057e-6]|0.0026084131088150394|0.003181201435760571|-0.00010341138883567492|6.753811881241554e-5|0.8239998817443848|LOCALLY_SOLVED
[0.7692307692307692, 0.23076923076923078, 0.0, 0.0]|true|[2.6995828008766188e-6, 2.2533541718827737e-6, 2.666434003516737e-6, 3.44878715163608e-6, 2.3118635915623143e-6, 0.2093340597195164, 0.7906084376875803, 3.066531872649385e-6, 2.5071056300428205e-6, 3.2895761006029205e-6, 4.157301804260234e-6, 2.528576818809121e-6, 1.5153372274695055e-6, 4.556107785736244e-6, 2.51599996240979e-6, 9.153551981387381e-6, 1.692407255012574e-6, 2.842710801531672e-6, 1.868932008629049e-6, 4.428431935413928e-6]|0.0024299244304461804|0.0025379626462318735|-5.170011669877519e-5|5.523696231338604e-5|0.8190000057220459|LOCALLY_SOLVED
